time,frozen_gate_rel_rms_all,block_selector_rel_rms_all,frozen_gate_rel_rms_cluster1,block_selector_rel_rms_cluster1,frozen_gate_rel_rms_cluster2,block_selector_rel_rms_cluster2
3.52,0.0,0.07094428687569154,0.0,0.06917285419832102,0.0,0.0785295128202705
3.5300000000000002,3.486939548193955e-07,0.07088055799932401,3.7856086059724454e-07,0.06913651357004706,1.5417363739617978e-07,0.07825451375072523
3.54,1.0982065914030606e-06,0.07082257436955568,1.2016126188798215e-06,0.06910725082387258,3.8707411888399195e-07,0.07798642691702098
3.5500000000000003,2.0709280310062813e-06,0.07075807277589106,2.273899455960586e-06,0.06906964770735584,6.515973152107381e-07,0.07772507575780895
3.56,3.3047688153561542e-06,0.07068657195633812,3.6389359598782403e-06,0.0690230153229726,9.420003135470344e-07,0.07747027610136933
3.5700000000000003,4.7702303313116595e-06,0.07061395583722678,5.264926518262445e-06,0.06897470087092064,1.2495024316788517e-06,0.07722186267942942
3.58,6.429674880071877e-06,0.07055777135652558,7.110880130815341e-06,0.06894688528868118,1.565814817919571e-06,0.07697966323043191
3.5900000000000003,8.290072395516221e-06,0.07050477175202415,9.185445993312491e-06,0.06892286303788574,1.885433607649249e-06,0.07674350424974415
3.6,1.0254047478572059e-05,0.07045762694862985,1.1380661216984875e-05,0.06890602146748102,2.196877246005773e-06,0.07651323320018263
3.6100000000000003,1.2328261365635675e-05,0.07041152511555734,1.3704287700858076e-05,0.06889024672018376,2.49928134820756e-06,0.07628870179923718
3.62,1.4526148359547196e-05,0.07035195240375577,1.6171606130136058e-05,0.06885700603925526,2.793480232211717e-06,0.0760697573151949
3.6300000000000003,1.687013016162674e-05,0.07030493773691333,1.880818418938526e-05,0.06883944617597927,3.076407601398614e-06,0.07585625105887195
3.64,1.9372917405460877e-05,0.0702269506566723,2.1628875565076303e-05,0.06878190183309484,3.3412176575926976e-06,0.07564803347973434
3.6500000000000004,2.1950826624016844e-05,0.07013153265394947,2.4540003869194626e-05,0.06870150493557728,3.5854146804731394e-06,0.07544495816900239
3.66,2.4626192847555617e-05,0.07007138443969546,2.7566774321873703e-05,0.06866584299893766,3.8084529639396088e-06,0.07524688828422078
3.6700000000000004,2.7392667971947138e-05,0.07001267631029104,3.070214394581277e-05,0.06863158993686366,4.010395000341504e-06,0.07505369334460159
3.68,3.022904269342741e-05,0.06994823998962464,3.392219116480053e-05,0.06858949764249013,4.194478054825653e-06,0.07486523811640372
3.6900000000000004,3.315462030416794e-05,0.06988646637850532,3.724868507550425e-05,0.06855034993219705,4.361576238258527e-06,0.07468140179115186
3.7,3.6183572969153564e-05,0.06981682395696928,4.069771842315569e-05,0.06850052930174695,4.5108730607144905e-06,0.074502051211664
